"Name","State","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","experiment","flow_steps","hidden_ratio","img_size","learning_rate","weight_decay","block_index","epoch","fp_thres","image_auroc_score","image_prauc_score","pixel_auroc_score","pro_score_0.3fp","nf_loss","valid_loss"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_00-59-21","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-11T22:59:22.000Z","2778","","nf","167","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","bottle","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.9817460317460316","0.9932101130484384","0.9042365071903912","0.8935571083301681","-341942.0011227545","-330312.8125"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_00-28-23","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-11T22:28:24.000Z","1854","","nf","167","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","bottle","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","334","0.3","0.9857142857142857","0.9951689753268306","0.942186520062686","0.9364077256472898","-405109.314745509","-376285.8958333333"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_01-45-43","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-11T23:45:43.000Z","3775","","nf","179","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","cable","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","432","0.3","0.8172788605697152","0.892075739785558","0.8751540833649653","0.848687933175032","-297533.14612430165","-270294.65625"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_02-48-41","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T00:48:41.000Z","4394","","nf","179","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","cable","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.7672413793103449","0.8526361489193063","0.8719806876547985","0.8486390309998473","-250317.70460893857","-240632.67916666667"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_05-12-31","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T03:12:31.000Z","4267","","nf","175","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","capsule","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.8228958915037893","0.9579584118435658","0.9181705303496512","0.909970110072327","-348872.72107142856","-344120.0227272727"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_04-01-59","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T02:01:59.000Z","4229","","nf","175","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","capsule","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","499","0.3","0.9282010370961308","0.9844606955944496","0.9558470842494676","0.9503958406429928","-422893.0142857143","-405949.0397727273"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_07-21-12","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T05:21:12.000Z","5252","","nf","224","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","carpet","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.8932584269662921","0.966367053499313","0.9175596715598344","0.9077824274937162","-379022.3258928571","-375570.65178571426"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_06-23-41","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T04:23:41.000Z","3447","","nf","224","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","carpet","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","328","0.3","0.8739967897271268","0.960739998549374","0.8901491145910652","0.8739960986427072","-408903.18303571426","-411031.62946428574"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_08-48-47","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T06:48:47.000Z","2325","","nf","211","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","grid","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","429","0.3","0.9665831244778612","0.9883171599537848","0.9627028175169324","0.9611067055428026","-353959.5779028436","-316072.92865566036"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_09-27-35","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T07:27:36.000Z","2739","","nf","211","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","grid","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.9482038429406848","0.9834049970158892","0.9638104201198912","0.9598972360264536","-300954.9200236967","-278837.80365566036"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_12-12-23","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T10:12:24.000Z","7295","","nf","313","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","hazelnut","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.7496428571428572","0.840617209231125","0.8952755745040638","0.8821667908330539","-297303.55640974443","-291235.3357371795"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_10-13-18","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T08:13:19.000Z","7141","","nf","313","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","hazelnut","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","491","0.3","0.8717857142857143","0.9149806081934776","0.9385472631078212","0.930603144502076","-354788.38188897766","-335520.9767628205"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_14-14-02","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T12:14:02.000Z","2960","","nf","196","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","leather","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","365","0.3","0.9996603260869564","0.9998824877533182","0.9883279803582674","0.9883069426582416","-309710.2410714286","-301231.4693877551"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_15-03-25","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T13:03:25.000Z","3953","","nf","196","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","leather","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","486","0.3","1","1.0000000000000002","0.9936843654552688","0.9936701594212513","-284987.2219387755","-275710.63584183675"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_16-09-21","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T14:09:21.000Z","2052","","nf","176","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","metal_nut","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","421","0.3","0.8792766373411535","0.9648670032560284","0.8910953904546025","0.8869369780060468","-345436.7840909091","-317329.14204545453"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_16-43-36","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T14:43:36.000Z","2449","","nf","176","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","metal_nut","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.7487781036168133","0.9203023789808517","0.878263210857173","0.8726171490155821","-287232.35511363635","-276781.1335227273"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_18-17-25","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T16:17:26.000Z","3596","","nf","214","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","pill","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.7921440261865793","0.9534977256763838","0.8894426639453711","0.8754907449094307","-330167.8615654206","-322375.3012971698"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_17-24-28","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T15:24:29.000Z","3174","","nf","214","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","pill","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","445","0.3","0.8128750681942172","0.9553303521079708","0.917757753043409","0.9082631047783608","-392156.5014602804","-371426.72228773584"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_19-17-25","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T17:17:25.000Z","2040","","nf","256","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","screw","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","305","0.3","0.7708546833367493","0.8980150699393106","0.8575514730205072","0.8400296528823518","-341580.21875","-330799.828125"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_19-51-28","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T17:51:28.000Z","3336","","nf","256","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","screw","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.6763681082188973","0.8604344323773236","0.7438247466142937","0.7173008382148784","-298651.55859375","-292252.78125"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_21-22-24","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T19:22:25.000Z","3399","","nf","184","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","tile","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.9527417027417028","0.9820360886334468","0.9350242649366308","0.9265093680444656","-293288.7798913043","-285256.6861413043"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_20-47-07","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T18:47:07.000Z","2114","","nf","184","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","tile","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","312","0.3","0.9603174603174603","0.9851444058405746","0.941866660357398","0.9347376804958956","-315918.4048913043","-311566.5625"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_22-35-06","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T20:35:06.000Z","1217","","nf","48","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","toothbrush","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.7888888888888889","0.9168065127265764","0.8993190058813344","0.8861265990272984","-283302.8645833333","-270034.5"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_22-19-08","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T20:19:08.000Z","955","","nf","48","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","toothbrush","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","402","0.3","0.8861111111111112","0.9579179297793904","0.9555156708668306","0.952352659386782","-384272.3958333333","-338433.625"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_23-40-50","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T21:40:50.000Z","4271","","nf","170","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","transistor","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.87375","0.8471891464827404","0.9080395112148264","0.8948726380791234","-273343.12463235296","-256106.9683866279"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-12_22-55-26","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T20:55:26.000Z","2721","","nf","170","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","transistor","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","319","0.3","0.8820833333333334","0.8615074892959669","0.9403810290985684","0.9329077704354732","-314451.5205882353","-286849.6140988372"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-13_01-30-24","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T23:30:25.000Z","4717","","nf","198","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","wood","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.9824561403508772","0.9942513106458196","0.9310778669681936","0.9238709942141738","-267081.9466540404","-255727.13456632657"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-13_00-52-04","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-12T22:52:04.000Z","2297","","nf","198","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","wood","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","243","0.3","0.9824561403508772","0.99439262295221","0.9434966410956764","0.9385725846264458","-262083.7730429293","-273966.2621173469"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-13_02-49-06","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-13T00:49:06.000Z","2371","","nf","192","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","zipper","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.001","0.00001","7","499","0.3","0.9267331932773109","0.9600041380157408","0.974200033936326","0.973148095255212","-366585.3072916667","-375364.3333333333"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-13_03-28-40","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-13T01:28:40.000Z","2407","","nf","192","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","zipper","mvtec_anomaly_detection","","NormalizingFlow","","transformer_encoder","500","","20","0.16","224","0.0001","0.00001","7","499","0.3","0.8923319327731092","0.9460940776484444","0.966623749122578","0.9640079357654836","-327762.0416666667","-322020.9375"