"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","centering","conv3x3_only","data_class","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","experiment","flow_step","flow_steps","flow_type","fp_thres","hidden_ratio","img_size","input_size","learning_rate","num_gaussians","patience","weight_decay","block_index","epoch","image_auroc_score","image_prauc_score","mdn_loss","mdn_train_loss","mdn_valid_loss","mse_loss","nf_loss","pixel_auroc_score","pro_score_0.2fp","pro_score_0.3fp","roc_auc_score","ssim_loss","stage","train_loss","valid_loss"
"Eval-recon_DecoderVanillaCNN-on-mvtec_grid","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:54:52.000Z","33","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","grid","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.5898078529657477","0.8007294033975512","","","","","","0.45286111173628896","","0.4596827290533574","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_wood","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:54:12.000Z","34","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","wood","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.3605263157894737","0.7383216167173453","","","","","","0.5575144417254687","","0.5657364631664569","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_hazelnut","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:53:23.000Z","43","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","hazelnut","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.8392857142857143","0.8366249361144745","","","","","","0.9002176007570329","","0.8878651910709858","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_metal_nut","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:52:36.000Z","40","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","metal_nut","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.6881720430107527","0.9034803972868964","","","","","","0.8004873762160686","","0.7420581625311923","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_tile","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:51:45.000Z","45","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","tile","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.6114718614718615","0.8091334188578012","","","","","","0.5550283524532409","","0.5483545595559725","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_screw","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:50:49.000Z","50","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","screw","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.895675343308055","0.9655211597753928","","","","","","0.8227661152812651","","0.8207947116776941","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_carpet","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:49:57.000Z","46","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","carpet","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.5100321027287319","0.7760958581569464","","","","","","0.5273249438868256","","0.5210327675607687","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_bottle","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:49:18.000Z","33","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","bottle","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.7015873015873016","0.900742566584239","","","","","","0.6142425368018258","","0.6469008173772608","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_cable","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:48:17.000Z","55","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","cable","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.7031484257871065","0.8076854775284799","","","","","","0.7711094593538124","","0.7415180334211517","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_transistor","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:47:32.000Z","40","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","transistor","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.6950000000000002","0.6977070752747473","","","","","","0.7687585080432818","","0.7509081289930672","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_zipper","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:46:37.000Z","49","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","zipper","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.4154411764705882","0.7798895684702629","","","","","","0.6017209153395162","","0.5908658518363029","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_leather","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:45:44.000Z","48","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","leather","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.4279891304347826","0.7649211930787133","","","","","","0.7255706081023742","","0.6997165427989076","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_pill","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:44:45.000Z","53","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","pill","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.6681669394435352","0.9138019913076116","","","","","","0.8077528895447172","","0.7713567686731866","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_toothbrush","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:44:17.000Z","23","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","toothbrush","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.7444444444444445","0.8710679172347703","","","","","","0.8935656766076023","","0.8879144442147141","","","eval","",""
"Eval-recon_DecoderVanillaCNN-on-mvtec_capsule","finished","-","almi1012","DecoderVanilla, EncoderResNet, MVTecAD, recon","2023-05-09T08:43:24.000Z","49","","","","AutoEncoderResNetSmallDecoder_DecoderVanillaCNN","","","","","","capsule","mvtec","","","","convolution","","","","","","0.3","","","","","","","","","","0.3948942959712805","0.8020683873754972","","","","","","0.6158011712649696","","0.6419864126786099","","","eval","",""